,BookTitle,Author,URL,Category,Price (EGY),Rate
178,Intelligent Investor,Benjamin Graham & Jason Zweig,https://diwanegypt.com/product/intelligent-investor/," E Business, E Finance & Investment, English Adults",1270.0,B
179,Invisible Women,Caroline Criado Perez,https://diwanegypt.com/product/invisible-women-exposing-data-bias-in-a-world-designed-for-men/," E Gender & Women Studies, E Society & Culture, English Adults",880.0,B
180,Seat of the Soul,Gary Zukav,https://diwanegypt.com/product/seat-of-the-soul-25th-anniversary-edition-with-a-study-guide/," E Spirituality, E Spirituality, New Age & Yoga, English Adults",1075.0,B
181,Awaken the Giant Within,Anthony Robbins,https://diwanegypt.com/product/awaken-the-giant-within-how-to-take-immediate-control-of-your-mental-emotional-physical-and-financial-life/," E Personal Growth, E Self-Help, English Adults",750.0,B
182,Digital Minimalism,Cal Newport,https://diwanegypt.com/product/digital-minimalism-choosing-a-focused-life-in-a-noisy-world/," E Personal Growth, E Self-Help, English Adults",750.0,B
183,Letters of Enchantment 2: Ruthless Vows,Rebecca Ross,https://diwanegypt.com/product/letters-of-enchantment-2-ruthless-vows/," E Fantasy, E Literature & Fiction, English Adults",855.0,B
184,Lakefront Billionaires 1: Love Redesigned,Lauren Asher,https://diwanegypt.com/product/lakefront-billionaires-1-love-redesigned/," E Literature & Fiction, E Romance, English Adults",685.0,B
185,The Housemaid 1: The Housemaid,Freida McFadden,https://diwanegypt.com/product/the-housemaid-1-the-housemaid/," E Literature & Fiction, E Mystery & Thrillers, English Adults",685.0,B
186,My Year of Rest and Relaxation,Ottessa Moshfegh,https://diwanegypt.com/product/my-year-of-rest-and-relaxation/," E General Fiction, E Literature & Fiction, English Adults",685.0,B
187,Pride and Prejudice,Jane Austen,https://diwanegypt.com/product/pride-and-prejudice-4/," E Classics, E Literature & Fiction, English Adults",540.0,B
188,Sword of Destiny,Andrzej Sapkowski,https://diwanegypt.com/product/sword-of-destiny/," E Fantasy, E Literature & Fiction, English Adults",685.0,B
189,My Dark Vanessa,Kate Elizabeth Russell,https://diwanegypt.com/product/my-dark-vanessa/," E General Fiction, E Literature & Fiction, English Adults",685.0,B
190,Hamnet,Maggie O'Farrell,https://diwanegypt.com/product/hamnet-2/," E General Fiction, E Literature & Fiction, English Adults",685.0,B
191,Tale of Two Cities,Charles Dickens,https://diwanegypt.com/product/tale-of-two-cities/," E Classics, E Literature & Fiction, English Adults",210.0,B
192,A History of Arab Graphic Design,Bahia Shehab,https://diwanegypt.com/product/history-of-arab-graphic-design/," E Art, Fashion & Photography, E Design & Illustration, English Adults",1400.0,B
193,The Concise Art of Seduction,Robert Greene,https://diwanegypt.com/product/concise-seduction/," E Relationships, E Self-Help, English Adults",685.0,B
194,Sufi Book of Life,Neil Douglas-Klotz,https://diwanegypt.com/product/sufi-book-of-life-99-pathways-of-the-heart-for-the-modern-dervish/," E Spirituality, New Age & Yoga, E Sufism, English Adults",1075.0,B
195,13 Things Mentally Strong People Don’t Do,Amy Morin,https://diwanegypt.com/product/13-things-mentally-strong-people-dont-do/," E Business, E Management & Leadership, English Adults",1020.0,B
196,If We Were Villains,M. L. Rio,https://diwanegypt.com/product/if-we-were-villains-2/," E Literature & Fiction, E Mystery & Thrillers, English Adults",685.0,B
197,Boundaries Updated and Expande,Henry Cloud & John Townsend,https://diwanegypt.com/product/boundaries-updated-and-expande/," E Spirituality, E Spirituality, New Age & Yoga, English Adults",1130.0,B
198,Notes from Underground,Fyodor Dostoevsky,https://diwanegypt.com/product/notes-from-underground/," E Classics, E Literature & Fiction, English Adults",855.0,B
199,Layla,Colleen Hoover,https://diwanegypt.com/product/layla/," E Literature & Fiction, E Romance, English Adults",855.0,B
200,Dare to Lead,Brene Brown,https://diwanegypt.com/product/dare-to-lead/," E Business, E Management & Leadership, English Adults",965.0,B
201,Phantom of the Opera,Gaston Leroux,https://diwanegypt.com/product/phantom-of-the-opera/," E Classics, E Literature & Fiction, English Adults",210.0,B
202,Architecture of Happiness,Alain De Botton,https://diwanegypt.com/product/architecture-of-happiness/," E Modern Philosophy, E Philosophy, English Adults",880.0,B
203,Kallimni ‘Arabi Aktar,Samia Louis,https://diwanegypt.com/product/kallimni-arabi-aktar/," E Foreign Language Study, E Study Guides, English Adults",900.0,B
204,Sophie’s World,Jostein Gaarder,https://diwanegypt.com/product/sophies-world-20th-anniversary-edition/," E General Fiction, E Literature & Fiction, English Adults",685.0,B
205,11.22.63,Stephen King,https://diwanegypt.com/product/11-22-63/," E Literature & Fiction, E Mystery & Thrillers, English Adults",880.0,B
206,33 Strategies of War,Robert Greene,https://diwanegypt.com/product/33-strategies-of-war-joost-elffers-books/," E Modern Philosophy, E Philosophy, English Adults",1560.0,B
207,The Hundred Years’ War on Palestine: A History of Settler Co,Rashid Khalidi,https://diwanegypt.com/product/the-hundred-years-war-on-palestine-a-history-of-settler-co/," E History & Politics, E Middle East History & Current Affairs, English Adults",1130.0,B
208,Kings of Sin 3: King of Greed,,https://diwanegypt.com/product/kings-of-sin-3-king-of-greed/," E Literature & Fiction, E Romance, English Adults",685.0,B
209,The Love Hypothesis,Ali Hazelwood,https://diwanegypt.com/product/the-love-hypothesis/," E Literature & Fiction, E Romance, English Adults",685.0,B
210,Love And Other Words,Christina Lauren,https://diwanegypt.com/product/love-and-other-words/," E Literature & Fiction, E Romance, English Adults",685.0,B
211,If An Egyptian Cannot Speak English,Noor Naga,https://diwanegypt.com/product/if-an-egyptian-cannot-speak-en/," E General Fiction, E Literature & Fiction, English Adults",965.0,B
212,Unbearable Lightness of Being,Milan Kundera,https://diwanegypt.com/product/unbearable-lightness-of-being-2/," E Contemporary Classics, E Literature & Fiction, English Adults",685.0,B
213,Beach Read,Emily Henry,https://diwanegypt.com/product/beach-read-2/," E Literature & Fiction, E Romance, English Adults",685.0,B
214,The Island Of Missing Trees,Elif Shafak,https://diwanegypt.com/product/the-island-of-missing-trees-2/," E General Fiction, E Literature & Fiction, English Adults",685.0,B
215,Vicious,V. E. Schwab and Victoria Schw,https://diwanegypt.com/product/vicious-2/," E Fantasy, E Literature & Fiction, English Adults",685.0,B
216,Highly Sensitive Person,Elaine N. Aron,https://diwanegypt.com/product/highly-sensitive-person/," E Popular Psychology, E Psychology, English Adults",1010.0,C
217,The Unhoneymooners,Christina Lauren,https://diwanegypt.com/product/the-unhoneymooners/," E Literature & Fiction, E Romance, English Adults",935.0,C
218,All The Lonely People,Mike Gayle,https://diwanegypt.com/product/all-the-lonely-people/," E General Fiction, E Literature & Fiction, English Adults",585.0,C
219,Kallimni ‘Arabi Mazboot,Samia Louis,https://diwanegypt.com/product/kallimni-arabi-mazboot/," E Foreign Language Study, E Study Guides, English Adults",900.0,C
220,Traditional Jewelry of Egypt,Azza Fahmy,https://diwanegypt.com/product/traditional-jewelry-of-egypt/," E Art, Fashion & Photography, E Design & Illustration, English Adults",900.0,C
221,It’s Not Always Depression,Hilary Jacobs Hendel,https://diwanegypt.com/product/its-not-always-depression/," E Popular Psychology, E Psychology, English Adults",750.0,C
222,Ninth House Alex Stern Series,Leigh Bardugo,https://diwanegypt.com/product/ninth-house-alex-stern-series/," E Fantasy, E Literature & Fiction, English Adults",685.0,C
223,Zikrayat,Nayra Atiya,https://diwanegypt.com/product/zikrayat-eight-jewish-women-remember-egypt/," E Biography & Memoirs, E Memoirs & Autobiographies, English Adults",400.0,C
224,When Panic Attacks,David D. Burns,https://diwanegypt.com/product/when-panic-attacks/," E Popular Psychology, E Psychology, English Adults",1020.0,C
225,Map of Love,Ahdaf Soueif,https://diwanegypt.com/product/map-of-love/," E Literary Fiction, E Literature & Fiction, English Adults",630.0,C
226,All Adults Here,Emma Straub,https://diwanegypt.com/product/all-adults-here/," E General Fiction, E Literature & Fiction, English Adults",935.0,C
227,Part Of Your World,Abby Jimenez,https://diwanegypt.com/product/part-of-your-world-2/," E Literature & Fiction, E Romance, English Adults",685.0,C
228,Twisted Lies,Ana Huang,https://diwanegypt.com/product/twisted-lies/," E Literature & Fiction, E Romance, English Adults",685.0,C
229,"Friends, Lovers, and the Big",Matthew Perry,https://diwanegypt.com/product/friends-lovers-and-the-big/," E Biography & Memoirs, E Memoirs & Autobiographies, English Adults",745.0,C
230,Don’T F*Cking Panic,Kelsey Darragh,https://diwanegypt.com/product/dont-fcking-panic/," E Personal Growth, E Self-Help, English Adults",1020.0,C
231,The Art of War,Sun Tzu,https://diwanegypt.com/product/the-art-of-war/," E Ancient Philosophy, E Philosophy, English Adults",580.0,C
232,Why We Sleep,Matthew Walker,https://diwanegypt.com/product/why-we-sleep/," E General Health, E Health, English Adults",750.0,C
233,The Remains of the Day,Kazuo Ishiguro,https://diwanegypt.com/product/remains-of-the-day/," E Literary Fiction, E Literature & Fiction, English Adults",560.0,C
234,Surrounded by Psychopaths,Thomas Erikson,https://diwanegypt.com/product/surrounded-by-psychopaths/," E Popular Psychology, E Psychology, English Adults",745.0,C
235,Five Little Pigs,Agatha Christie,https://diwanegypt.com/product/five-little-pigs/," E Literature & Fiction, E Mystery & Thrillers, English Adults",560.0,C
236,I Know Why the Caged Bird Sing,Maya Angelou,https://diwanegypt.com/product/i-know-why-the-caged-bird-sing/," E Biography & Memoirs, E Memoirs & Autobiographies, English Adults",540.0,C
237,How Emotions Are Made,Lisa Feldman Barrett,https://diwanegypt.com/product/how-emotions-are-made/," E General Psychology, E Psychology, English Adults",750.0,C
238,Five Love Languages of Children,Ross Gary & Campbell Chapman,https://diwanegypt.com/product/five-love-languages-of-children/," E Parenting, E Pregnancy & Parenting, English Adults",965.0,C
239,Equilibrium: Find Your Balance,Alyaa Sadek,https://diwanegypt.com/product/equilibrium-find-your-balance/," E Personal Growth, E Self-Help, English Adults",599.0,C
240,Sherlock Holmes Complete Novel,Arthur Conan Doyle,https://diwanegypt.com/product/sherlock-holmes-complete-novels-and-stories-vol-1/," E Classics, E Literature & Fiction, English Adults",480.0,C
241,The Powerless Trilogy 2: Reckless,Lauren Roberts,https://diwanegypt.com/product/the-powerless-trilogy-2-reckless/," E Literature & Fiction, E Romance, English Adults",685.0,C
242,Bride,Ali Hazelwood,https://diwanegypt.com/product/bride/," E Fantasy, E Literature & Fiction, English Adults",720.0,C
243,Tales of Maadi: Memories and visions of a Cairo Suburb,Kathrin Sombold,https://diwanegypt.com/product/tales-of-maadi-memories-and-visions-of-a-cairo-suburb/," E Biography & Memoirs, E Memoirs & Autobiographies, English Adults",800.0,C
244,Windy City 2: The Right Move,Liz Tomforde,https://diwanegypt.com/product/windy-city-2-the-right-move/," E Literature & Fiction, E Romance, English Adults",685.0,C
245,Yours Truly,Abby Jimenez,https://diwanegypt.com/product/yours-truly/," E Literature & Fiction, E Romance, English Adults",685.0,C
246,Flawless,Elsie Silver,https://diwanegypt.com/product/flawless/," E Literature & Fiction, E Romance, English Adults",685.0,C
247,Daisy Jones and the Six,Taylor Jenkins Reid,https://diwanegypt.com/product/daisy-jones-and-the-six/," E General Fiction, E Literature & Fiction, English Adults",690.0,C
248,Fire & Blood,George R.R. Martin,https://diwanegypt.com/product/fire-blood/," E Fantasy, E Literature & Fiction, English Adults",580.0,C
249,Attached,Amir Levine & Rachel Heller,https://diwanegypt.com/product/attached-2/," E Relationships, E Self-Help, English Adults",750.0,C
250,Malibu Rising,Taylor Jenkins Reid,https://diwanegypt.com/product/malibu-rising-3/," E General Fiction, E Literature & Fiction, English Adults",720.0,C
251,What Happened to You?,Oprah Winfrey,https://diwanegypt.com/product/what-happened-to-you-2/," E Anxiety & Trauma, E Psychology, English Adults",880.0,C
252,No Drama Discipline,Tina Payne Bryson & Daniel J.,https://diwanegypt.com/product/no-drama-discipline/," E Parenting, E Pregnancy & Parenting, English Adults",1020.0,C
253,Burn After Writing (Yellow),Sharon Jones,https://diwanegypt.com/product/burn-after-writing-yellow/," E Journals, E Self-Help, English Adults",800.0,C
254,The Thursday Murder Club,Richard Osman,https://diwanegypt.com/product/thursday-murder-club-2/," E Literature & Fiction, E Mystery & Thrillers, English Adults",685.0,C
255,Franz Kafka Complete Stories,Franz Kafka,https://diwanegypt.com/product/franz-kafka-complete-stories/," E Classics, E Literature & Fiction, English Adults",1130.0,C
256,How to Carry What Can’t Be Fixed,Megan Devine,https://diwanegypt.com/product/how-to-carry-what-cant-be-fix/," E Journals, E Self-Help, English Adults",965.0,C
257,Transcending the Levels of Consciousness the stairway to Enlightenment,David R. Hawkins MD PhD,https://diwanegypt.com/product/transcending-the-levels-of-con/," E Spirituality, E Spirituality, New Age & Yoga, English Adults",1010.0,C
258,Map of Consciousness Explained,David R. Hawkins,https://diwanegypt.com/product/map-of-consciousness-explained/," E Spirituality, E Spirituality, New Age & Yoga, English Adults",1010.0,C
259,Winning,Jack Welch,https://diwanegypt.com/product/winning/," E Business, E Management & Leadership, English Adults",540.0,C
260,Five Minutes in the Morning,,https://diwanegypt.com/product/five-minutes-in-the-morning/," E Journals, E Self-Help, English Adults",850.0,C
261,Seven Dials Mystery,Agatha Christie,https://diwanegypt.com/product/seven-dials-mystery/," E Literature & Fiction, E Mystery & Thrillers, English Adults",560.0,C
262,Iliad and the Odyssey,Homer,https://diwanegypt.com/product/iliad-and-the-odyssey/," E Literature & Fiction, E Poetry, English Adults",350.0,C
263,As a Man Thinketh,James Allen,https://diwanegypt.com/product/as-a-man-thinketh/," E Modern Philosophy, E Philosophy, English Adults",745.0,C
264,If Beale Street Could Talk,James Baldwin,https://diwanegypt.com/product/if-beale-street-could-talk/," E Contemporary Classics, E Literature & Fiction, English Adults",630.0,C
265,Outsider,Albert Camus,https://diwanegypt.com/product/outsider-2/," E Classics, E Literature & Fiction, English Adults",630.0,C
266,Palace Walk,Naguib Mahfouz,https://diwanegypt.com/product/palace-walk/," E Arabic Literature in Translation, E Literature & Fiction, English Adults",450.0,C
267,Homo Deus,Yuval Noah Harari,https://diwanegypt.com/product/homo-deus-a-brief-history-of-tomorrow/," E Popular Science, E Science & Technology, English Adults",880.0,C
268,Seven Principles for Making Marriage Work,John Gottman Ph.D. & Nan Silve,https://diwanegypt.com/product/seven-principles-for-making-marriage-work-a-practical-guide-from-the-countrys-foremost-relationship-expert/," E Relationships, E Self-Help, English Adults",1020.0,C
269,The Bastard of Istanbul,Elif Shafak,https://diwanegypt.com/product/bastard-of-istanbul/," E General Fiction, E Literature & Fiction, English Adults",685.0,C
270,Birth of Tragedy,Friedrich Wilhelm Nietzsche,https://diwanegypt.com/product/birth-of-tragedy-out-of-the-spirit-of-music/," E Modern Philosophy, E Philosophy, English Adults",690.0,C
271,Eleanor Oliphant is Completely Fine,Gail Honeyman,https://diwanegypt.com/product/eleanor-oliphant-is-completely-fine-debut-bestseller-and-costa-first-novel-book-award-winner-2017/," E Literary Fiction, E Literature & Fiction, English Adults",685.0,C
272,Better Than The Movies,Lynn Painter,https://diwanegypt.com/product/better-than-the-movies-2/," E Literature & Fiction, E Romance, English Adults",630.0,C
273,As Long As The Lemon Trees Grow,Zoulfa Katouh,https://diwanegypt.com/product/as-long-as-the-lemon-trees-grow/," E General Fiction, E Literature & Fiction, English Adults",630.0,C
274,Dopamine Nation,Anna Lembke,https://diwanegypt.com/product/dopamine-nation-finding-balance-in-the-age-of-indulgence/," E General Psychology, E Psychology, English Adults",745.0,C
275,Practice Makes Perfect,Sarah Adams,https://diwanegypt.com/product/practice-makes-perfect/," E Literature & Fiction, E Romance, English Adults",720.0,C
276,Dune,Frank Herbert,https://diwanegypt.com/product/dune/," E Fantasy, E Literature & Fiction, English Adults",685.0,C
277,Things we hide from the light,Lucy Score,https://diwanegypt.com/product/things-we-hide-from-the-light/," E Literature & Fiction, E Romance, English Adults",685.0,C
278,No Bad Parts,Alani,https://diwanegypt.com/product/no-bad-parts/," E Anxiety & Trauma, E Psychology, English Adults",1130.0,C
279,Zero To One,Peter Thiel and Blake Masters,https://diwanegypt.com/product/zero-to-one-2/," E Business, E Entrepreneurship, English Adults",685.0,C
280,American Psycho,Bret Easton Ellis,https://diwanegypt.com/product/american-psycho/," E General Fiction, E Literature & Fiction, English Adults",580.0,C
281,Smith-Waite Centennial Tarot D,Arthur Edward Waite,https://diwanegypt.com/product/smith-waite-centennial-tarot-d/," E New Age, E Spirituality, New Age & Yoga, English Adults",1130.0,C
282,Healing is the New High,Vex King,https://diwanegypt.com/product/healing-is-the-new-high/," E Spirituality, E Spirituality, New Age & Yoga, English Adults",1010.0,C
283,Iliad,Homer,https://diwanegypt.com/product/iliad/," E Literature & Fiction, E Poetry, English Adults",280.0,C
284,The Philosophy of Aristotle,Aristotle,https://diwanegypt.com/product/philosophy-of-aristotle/," E Ancient Philosophy, E Philosophy, English Adults",540.0,C
285,The Starless Sea,Erin Morgenstern,https://diwanegypt.com/product/starless-sea-2/," E Fantasy, E Literature & Fiction, English Adults",685.0,C
286,Dutch House,Ann Patchett,https://diwanegypt.com/product/dutch-house/," E Literary Fiction, E Literature & Fiction, English Adults",490.0,C
287,You Are the Placebo,Joe Dispenza,https://diwanegypt.com/product/you-are-the-placebo/," E Mind, Body & Spirit, E Self-Help, English Adults",1140.0,C
288,November 9,Colleen Hoover,https://diwanegypt.com/product/november-9/," E Literature & Fiction, E Romance, English Adults",685.0,C
289,Keepers of the Light Oracle Ca,Kyle Gray,https://diwanegypt.com/product/keepers-of-the-light-oracle-ca/," E New Age, E Spirituality, New Age & Yoga, English Adults",1205.0,C
290,Kim Jiyoung Born 1982,Cho Nam-Joo,https://diwanegypt.com/product/kim-jiyoung-born-1982-2/," E General Fiction, E Literature & Fiction, English Adults",630.0,C
291,Violet Bent Backwards Over the,Lana Del Rey,https://diwanegypt.com/product/violet-bent-backwards-over-the/," E Literature & Fiction, E Poetry, English Adults",1140.0,C
292,Islamic Art in Cairo,Emil D'avennes,https://diwanegypt.com/product/islamic-art-in-cairo/," E Art, Fashion & Photography, E General Art, English Adults",550.0,C
293,Adrift on the Nile,Naguib Mahfouz,https://diwanegypt.com/product/adrift-on-the-nile/," E Arabic Literature in Translation, E Literature & Fiction, English Adults",300.0,C
294,Lord of the Flies,William Golding,https://diwanegypt.com/product/lord-of-the-flies/," E Contemporary Classics, E Literature & Fiction, English Adults",560.0,C
295,Stillness is the Key,Ryan Holiday,https://diwanegypt.com/product/stillness-is-the-key-an-ancient-strategy-for-modern-life/," E Personal Growth, E Self-Help, English Adults",800.0,C
296,Wabi Sabi,Beth Kempton,https://diwanegypt.com/product/wabi-sabi-japanese-wisdom-for-a-perfectly-imperfect-life/," E Eastern Philosophy, E Philosophy, English Adults",1140.0,C
297,There Are Rivers in the Sky,Elif Shafak,https://diwanegypt.com/product/there-are-rivers-in-the-sky/," E General Fiction, E Literature & Fiction, English Adults",1075.0,C
298,Lakefront Billionaires 2: Love Unwritten,Lauren Asher,https://diwanegypt.com/product/lakefront-billionaires-2-love-unwritten/," E Literature & Fiction, E Romance, English Adults",685.0,C
299,Kings of Sin 4: King of Sloth,Ana Huang,https://diwanegypt.com/product/kings-of-sin-4-king-of-sloth/," E Fantasy, E Literature & Fiction, English Adults",685.0,C
300,Blue Sisters,Coco Mellors,https://diwanegypt.com/product/blue-sisters/," E General Fiction, E Literature & Fiction, English Adults",1010.0,C
301,Knockemout 3: Things We Left Behind,,https://diwanegypt.com/product/knockemout-3-things-we-left-behind/," E Literature & Fiction, E Romance, English Adults",685.0,C
302,"Love, Theoretically",Ali Hazelwood,https://diwanegypt.com/product/love-theoretically/," E Literature & Fiction, E Romance, English Adults",690.0,C
303,Before We Were Strangers,Renee Carlino,https://diwanegypt.com/product/before-we-were-strangers-2/," E Literature & Fiction, E Romance, English Adults",630.0,C
304,Ice Breaker,Hannah Grace,https://diwanegypt.com/product/ice-breaker/," E Literature & Fiction, E Romance, English Adults",630.0,C
305,Living Untethered,Michael A. Singer,https://diwanegypt.com/product/living-untethered/," E Spirituality, E Spirituality, New Age & Yoga, English Adults",1010.0,C
306,The Last Thing He Told Me,Laura Dave,https://diwanegypt.com/product/the-last-thing-he-told-me/," E Literature & Fiction, E Mystery & Thrillers, English Adults",685.0,C
307,Circe,Madeline Miller,https://diwanegypt.com/product/circe/," E Fantasy, E Literature & Fiction, English Adults",490.0,C
308,Positive Discipline for Teenag,Jane Nelsen & Lynn Lott,https://diwanegypt.com/product/positive-discipline-for-teenag/," E Parenting, E Pregnancy & Parenting, English Adults",965.0,C
309,Vintage Alexandria,Michael Haag,https://diwanegypt.com/product/vintage-alexandria/," E Egypt Essentials, E Egypt Essentials, English Adults",600.0,C
310,The High 5 Habit: Take control of your life with one simple habit,Mel Robbins,https://diwanegypt.com/product/high-5-habit-take-control-of-your-life/," E Personal Growth, E Self-Help, English Adults",1300.0,C
311,Burn After Writing (Pink),Sharon Jones,https://diwanegypt.com/product/burn-after-writing-pink/," E Journals, E Self-Help, English Adults",800.0,C
312,The 22 Immutable Laws of Marketing,Al Ries & Jack Trout,https://diwanegypt.com/product/22-immutable-laws-of-marketing/," E Business, E Marketing, Advertising & Sal, English Adults",685.0,C
313,Mastery,Robert Greene,https://diwanegypt.com/product/mastery/," E Modern Philosophy, E Philosophy, English Adults",1500.0,C
314,One Last Stop,Casey McQuiston,https://diwanegypt.com/product/one-last-stop/," E Literature & Fiction, E Romance, English Adults",715.0,C
315,Blindness,Jose Saramago,https://diwanegypt.com/product/blindness/," E Contemporary Classics, E Literature & Fiction, English Adults",685.0,C
316,Other Side of the Couch,Gary Small & Gigi Vorgan,https://diwanegypt.com/product/other-side-of-the-couch/," E Popular Psychology, E Psychology, English Adults",1020.0,C
317,Authentic Egyptian Cooking,Nehal Leheta,https://diwanegypt.com/product/authentic-egyptian-cooking-from-the-table-of-abou-el-sid/," E Cookery, E Egyptian Cooking, English Adults",500.0,C
318,Woman in the Window,A. J Finn,https://diwanegypt.com/product/woman-in-the-window/," E Literature & Fiction, E Mystery & Thrillers, English Adults",485.0,C
319,History of Egypt,Thompson Jason,https://diwanegypt.com/product/history-of-egypt-from-earliest-times-to-the-present/," E Egypt Essentials, E Egypt Essentials, English Adults",500.0,C
320,21 Lessons for the 21st Centur,Yuval Noah Harari,https://diwanegypt.com/product/21-lessons-for-the-21st-century/," E Biology & Life Science, E Science & Technology, English Adults",880.0,C
321,Rich Dad’s Guide to Investing,Robert T. Kiyosaki,https://diwanegypt.com/product/rich-dads-guide-to-investing/," E Business, E Finance & Investment, English Adults",480.0,C
322,And the Mountains Echoed,Khaled Hosseini,https://diwanegypt.com/product/and-the-mountains-echoed/," E General Fiction, E Literature & Fiction, English Adults",685.0,C
323,Enneagram In Love And Work,Helen Palmer,https://diwanegypt.com/product/enneagram-in-love-and-work/," E Enneagram, E Psychology, English Adults",1020.0,C
324,The Empyrean 1: Fourth Wing,Rebecca Yarros,https://diwanegypt.com/product/the-empyrean-1-fourth-wing-3/," E Fantasy, E Literature & Fiction, English Adults",750.0,D
325,Assistant To The Villain 1: Assistant To The Villain,Hannah Nicole Maehrer,https://diwanegypt.com/product/assistant-to-the-villain-1-assistant-to-the-villain/," E Literature & Fiction, E Romance, English Adults",685.0,D
326,The Housemaid 2: The Housemaid’s Secret,Freida McFadden,https://diwanegypt.com/product/the-housemaid-2-the-housemaids-secret/," E Literature & Fiction, E Mystery & Thrillers, English Adults",685.0,D
327,Scattered Minds: The Origins and Healing of Attention Defici,,https://diwanegypt.com/product/scattered-minds-the-origins-and-healing-of-attention-defici/," E Psychology, E Therapy, English Adults",880.0,D
328,Radiant Rider-Waite Tarot Deck,Arthur Edward Waite,https://diwanegypt.com/product/radiant-rider-waite-tarot-deck/," E New Age, E Spirituality, New Age & Yoga, English Adults",1460.0,D
329,Sorrow & Bliss,Meg Mason,https://diwanegypt.com/product/sorrow-bliss/," E General Fiction, E Literature & Fiction, English Adults",685.0,D
330,The Way I used to be,Amber Smith,https://diwanegypt.com/product/the-way-i-used-to-be/," E General Fiction, E Literature & Fiction, English Adults",630.0,D
331,You Deserve Each Other,Sarah Hogle,https://diwanegypt.com/product/you-deserve-each-other-2/," E Literature & Fiction, E Romance, English Adults",685.0,D
332,The Spanish Love Deception,Elena Armas,https://diwanegypt.com/product/the-spanish-love-deception/," E Literature & Fiction, E Romance, English Adults",685.0,D
333,Klara and the Sun,Kazuo Ishiguro,https://diwanegypt.com/product/klara-and-the-sun-2/," E Literary Fiction, E Literature & Fiction, English Adults",685.0,D
334,Manifest,Roxie Nafousi,https://diwanegypt.com/product/manifest/," E Personal Growth, E Self-Help, English Adults",1270.0,D
335,Second Sex,Simone De Beauvoir,https://diwanegypt.com/product/second-sex/," E Gender & Women Studies, E Society & Culture, English Adults",1010.0,D
336,You’ve Reached Sam,Dustin Thao,https://diwanegypt.com/product/youve-reached-sam/," E Literature & Fiction, E Romance, English Adults",520.0,D
337,On Writing,Stephen King,https://diwanegypt.com/product/on-writing/," E Literary Criticism, E Literary Criticism & Essays, English Adults",750.0,D
338,Return to Love,Marianne Williamson,https://diwanegypt.com/product/return-to-love/," E Spirituality, E Spirituality, New Age & Yoga, English Adults",1020.0,D
339,Les Miserables: Volume Two,Victor Hugo,https://diwanegypt.com/product/les-miserables-v-2/," E Classics, E Literature & Fiction, English Adults",280.0,D
340,Catch 22,Joseph Heller,https://diwanegypt.com/product/catch-22/," E Contemporary Classics, E Literature & Fiction, English Adults",630.0,D
341,Blood of Elves,Andrzej Sapkowski,https://diwanegypt.com/product/blood-of-elves/," E Fantasy, E Literature & Fiction, English Adults",685.0,D
342,You Are a Badass,Jen Sincero,https://diwanegypt.com/product/you-are-a-badass/," E Personal Growth, E Self-Help, English Adults",750.0,D
343,Sense and Sensibility,Jane Austen,https://diwanegypt.com/product/sense-and-sensibility/," E Classics, E Literature & Fiction, English Adults",240.0,D
344,Make Your Bed,Admiral William H. McRaven,https://diwanegypt.com/product/make-your-bed/," E Personal Growth, E Self-Help, English Adults",750.0,D
345,Hopeless 1,Colleen Hoover,https://diwanegypt.com/product/hopeless-1/," E Literature & Fiction, E Romance, English Adults",685.0,D
346,Eleven Minutes,Paulo Coelho,https://diwanegypt.com/product/eleven-minutes/," E General Fiction, E Literature & Fiction, English Adults",540.0,D
347,My First and Only Love,Sahar Khalifeh,https://diwanegypt.com/product/my-first-and-only-love/," E Arabic Literature in Translation, E Literature & Fiction, English Adults",350.0,D
348,Archer,Paulo Coelho,https://diwanegypt.com/product/archer-2/," E General Fiction, E Literature & Fiction, English Adults",825.0,D
349,Kallimni ‘Arabi fi Kull Haaga,Samia Louis,https://diwanegypt.com/product/kallimni-arabi-fi-kull-haaga/," E Foreign Language Study, E Study Guides, English Adults",900.0,D
350,Story of a New Name,Elena Ferrante,https://diwanegypt.com/product/story-of-a-new-name/," E Literary Fiction, E Literature & Fiction, English Adults",685.0,D
351,High Above Egypt,Marcello Bertinetti,https://diwanegypt.com/product/high-above-egypt/," E Egypt Essentials, E Egypt Essentials, English Adults",500.0,D
352,Getting the Love You Want,Harville Hendrix,https://diwanegypt.com/product/getting-the-love-you-want/," E Relationships, E Self-Help, English Adults",685.0,D
353,Positive Discipline Tools For,Ed.D. Jane Nelsen And Kelly Gf,https://diwanegypt.com/product/positive-discipline-tools-for-teachers-positive-discipline-library/," E Parenting, E Pregnancy & Parenting, English Adults",1020.0,D
354,The Architect’s Apprentice,Elif Shafak,https://diwanegypt.com/product/architects-apprentice/," E General Fiction, E Literature & Fiction, English Adults",685.0,D
355,The Flea Palace,Elif Shafak,https://diwanegypt.com/product/flea-palace/," E General Fiction, E Literature & Fiction, English Adults",685.0,D
356,Everything I Never Told You,Celeste Ng,https://diwanegypt.com/product/everything-i-never-told-you/," E General Fiction, E Literature & Fiction, English Adults",690.0,D
357,Fifty Shades of Grey,E. L. James,https://diwanegypt.com/product/fifty-shades-of-grey/," E Literature & Fiction, E Romance, English Adults",685.0,D
